filename,page,content,confidence,original_content
085-Sane_Guruji_Marg_Byculla.pdf,1,अ) केशवराव खाडये मार्ग म्युनिसिपल घर 45 ते 75 | ब) केशवराव खाडये मार्ग म्युनिसिपल घर 13 डी ते 45 व साईकृपा,88,
086-42-43_D_Keshavrao_Khade_Marg.pdf,1,केशव खाडये मार्ग म्युनिसिपल घर 56 एम ते 56 टी. | ब) केशवराव खाडये मार्ग म्युनिसिपल घर 58 ते 68 आणि साईकृपा,86,
087-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,केशवराव खाडये मार्ग म्युनिसिपल घर 10 ते सिम्प्लेक्स मिलजवळील झोपडपट्टी व संत गाडगे महाराज चौक म्युनिसिपल घर 27 ते 35,90,
088-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,अ) साने गुरूजी मार्ग म्युनिसिपल घर 269 ते 299 | ब) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 462 वार्ड बिल्डींग ते 562 म्युनिसिपल चाळ | क) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 616 डी. ते 616 एम | ड) केशवराव खाडये मार्ग म्युनिसिपल घर 41 ते 43 क,91,
089-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 462 म्युनिसिपल बिल्डींग ते म्युनिसिपल भंडार जवळील झोपड्या,91,
090-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 616 एन ते 638 ब | ब) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 574 बी ते 576 क,91,
091-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 576 डी ते 586 ई | ब) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 592 ते 606 बी | क) गणेश हरी पारूंडेकर मार्ग कासिम बि. के ते म्युनिसिपल पत्रा चाळ क्रमांक 57 | ड) नामदेव मुरलीधर जोशी मार्ग 1 ली क्रॉस लेन म्युनिसिपल घर क्रमांक 4 ते 6 ई म्यु. चाळी जवळ,90,
092-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग पहिली क्रॉस लेन म्युनिसिपल घर 4 ते 6 ई | ब) पायस स्ट्रीट इंडियन हॉटेल कं. बिल्डींग ते ए-1 म्युनिसिपल बिल्डींग,92,
093-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग एस. ब्रीज जवळील झोपडपट्टी ते म्युनिसिपल घर 615 व रेल्वे चाळ जवळील झोपड्या | ब) गणेश हरी पारूंडेकर मार्ग म्युनिसिपल घर 2 ते कासीम बिल्डींग कंपाऊंड | क) पायस स्ट्रीट दुभाषा बि. (कॉरोनशन बेकरी) ते म्युनिसिपल घर 36-38,92,
094-N.M.Joshi_Marg_Shi.Nagar_Building_Meherpada.pdf,1,मुसा किल्लेदार स्ट्रीट 2 ते म्युनिसिपल पत्रा चाळ क्रमांक 41,93,
095-Bapurao_Jagtap_Marg.pdf,1,अ) मुसा किल्लेदार स्ट्रीट म्युनिसिपल घर 56 पत्रा चाळ क्रमांक 40 ते म्युनिसिपल घर 66 पत्रा चाळ क्रमांक 13 | ब) केशवराव खाडये मार्ग म्युनिसिपल घर 29 ते 33,88,
096-Bapurao_Jagtap_Marg.pdf,1,अ) मुसा किल्लेदार स्ट्रीट म्युनिसिपल बिल्डींग क्रं.3 ते म्युनिसिपल बिल्डिंग क्रमांक 20 जवळील झोपडपट्टी | ब) बापुराव जगताप मार्ग म्युनिसिपल घर क्रमांक 174 जे ते 744 | क) केशवराव खाडये मार्ग म्युनिसिपल घर 17 ते 23,90,
097-Bapurao_Jagtap_Marg.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग म्युनिसिपल घर 616 ते 616 सी ब) मुसा किल्लेदार स्ट्रीट म्युनिसिपल घर 1 ते 51,91,
098-Bapurao_Jagtap_Marg.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग पहिली क्रॉस लेन म्युनिसिपल घर 1 ते 17 | ब) पायस स्ट्रीट म्युनिसिपल बिल्डींग क्रमांक ए.1 समोरील जनता सेवक सोसायटी झोपडपट्टी ते म्युनिसिपल घर 37 म्युनिसिपल पत्रा चाळ,92,
099-Bapurao_Jagtap_Marg.pdf,1,नामदेव मुरलीधर जोशी मार्ग पहिली क्रॉस लेन म्युनिसिपल घर 27 ते 39,91,
